,u,v,edge_type,count
136,Worry_1,L2,v->u,6
137,Worry_1,L2,undirected,0
138,Worry_1,L2,none,141
139,Worry_1,L2,unknown,0
140,Worry_1,L3,u->v,2
141,Worry_1,L3,v->u,32
142,Worry_1,L3,undirected,0
143,Worry_1,L3,none,120
144,Worry_1,L3,unknown,0
145,Worry_1,L4,u->v,0
146,Worry_1,L4,v->u,2
147,Worry_1,L4,undirected,0
148,Worry_1,L4,none,152
149,Worry_1,L4,unknown,0
150,Worry_1,L5,u->v,7
151,Worry_1,L5,v->u,18
152,Worry_1,L5,undirected,0
153,Worry_1,L5,none,129
154,Worry_1,L5,unknown,0
155,Worry_1,L6,u->v,2
156,Worry_1,L6,v->u,17
157,Worry_1,L6,undirected,0
158,Worry_1,L6,none,135
159,Worry_1,L6,unknown,0
160,Worry_1,L7,u->v,3
161,Worry_1,L7,v->u,10
162,Worry_1,L7,undirected,0
163,Worry_1,L7,none,141
164,Worry_1,L7,unknown,0
165,Worry_1,L8,u->v,0
166,Worry_1,L8,v->u,54
167,Worry_1,L8,undirected,1
168,Worry_1,L8,none,99
169,Worry_1,L8,unknown,0
170,Worry_1,L9,u->v,1
171,Worry_1,L9,v->u,6
172,Worry_1,L9,undirected,0
173,Worry_1,L9,none,147
174,Worry_1,L9,unknown,0
175,Worry_1,L10,u->v,5
176,Worry_1,L10,v->u,6
177,Worry_1,L10,undirected,0
178,Worry_1,L10,none,143
179,Worry_1,L10,unknown,0
180,Worry_2,Worry_3,u->v,2
181,Worry_2,Worry_3,v->u,4
182,Worry_2,Worry_3,undirected,0
183,Worry_2,Worry_3,none,148
184,Worry_2,Worry_3,unknown,0
185,Worry_2,Worry_4,u->v,2
186,Worry_2,Worry_4,v->u,2
187,Worry_2,Worry_4,undirected,0
188,Worry_2,Worry_4,none,150
189,Worry_2,Worry_4,unknown,0
190,Worry_2,Worry_5,u->v,1
191,Worry_2,Worry_5,v->u,1
192,Worry_2,Worry_5,undirected,0
193,Worry_2,Worry_5,none,152
194,Worry_2,Worry_5,unknown,0
195,Worry_2,Worry_6,u->v,0
196,Worry_2,Worry_6,v->u,2
197,Worry_2,Worry_6,undirected,0
198,Worry_2,Worry_6,none,152
199,Worry_2,Worry_6,unknown,0
200,Worry_2,Worry_7,u->v,0
201,Worry_2,Worry_7,v->u,3
202,Worry_2,Worry_7,undirected,0
203,Worry_2,Worry_7,none,151
204,Worry_2,Worry_7,unknown,0
205,Worry_2,Worry_8,u->v,0
206,Worry_2,Worry_8,v->u,16
207,Worry_2,Worry_8,undirected,0
208,Worry_2,Worry_8,none,138
209,Worry_2,Worry_8,unknown,0
210,Worry_2,Worry_9,u->v,0
211,Worry_2,Worry_9,v->u,22
212,Worry_2,Worry_9,undirected,0
213,Worry_2,Worry_9,none,132
214,Worry_2,Worry_9,unknown,0
215,Worry_2,Worry_10,u->v,2
216,Worry_2,Worry_10,v->u,3
217,Worry_2,Worry_10,undirected,0
218,Worry_2,Worry_10,none,149
219,Worry_2,Worry_10,unknown,0
220,Worry_2,MistrustB_1,u->v,0
221,Worry_2,MistrustB_1,v->u,0
222,Worry_2,MistrustB_1,undirected,0
223,Worry_2,MistrustB_1,none,154
224,Worry_2,MistrustB_1,unknown,0
225,Worry_2,MistrustB_2,u->v,0
226,Worry_2,MistrustB_2,v->u,1
227,Worry_2,MistrustB_2,undirected,0
228,Worry_2,MistrustB_2,none,153
229,Worry_2,MistrustB_2,unknown,0
230,Worry_2,MistrustB_3,u->v,1
231,Worry_2,MistrustB_3,v->u,2
232,Worry_2,MistrustB_3,undirected,0
233,Worry_2,MistrustB_3,none,151
234,Worry_2,MistrustB_3,unknown,0
235,Worry_2,MistrustB_4,u->v,0
236,Worry_2,MistrustB_4,v->u,0
237,Worry_2,MistrustB_4,undirected,0
238,Worry_2,MistrustB_4,none,154
239,Worry_2,MistrustB_4,unknown,0
240,Worry_2,MistrustB_5,u->v,0
241,Worry_2,MistrustB_5,v->u,0
242,Worry_2,MistrustB_5,undirected,0
243,Worry_2,MistrustB_5,none,154
244,Worry_2,MistrustB_5,unknown,0
245,Worry_2,MistrustB_6,u->v,0
246,Worry_2,MistrustB_6,v->u,0
247,Worry_2,MistrustB_6,undirected,0
248,Worry_2,MistrustB_6,none,154
249,Worry_2,MistrustB_6,unknown,0
250,Worry_2,MistrustB_7,u->v,1
251,Worry_2,MistrustB_7,v->u,0
252,Worry_2,MistrustB_7,undirected,0
253,Worry_2,MistrustB_7,none,153
254,Worry_2,MistrustB_7,unknown,0
255,Worry_2,MistrustB_8,u->v,0
256,Worry_2,MistrustB_8,v->u,1
257,Worry_2,MistrustB_8,undirected,0
258,Worry_2,MistrustB_8,none,153
259,Worry_2,MistrustB_8,unknown,0
260,Worry_2,MistrustB_9,u->v,0
261,Worry_2,MistrustB_9,v->u,2
262,Worry_2,MistrustB_9,undirected,0
263,Worry_2,MistrustB_9,none,152
264,Worry_2,MistrustB_9,unknown,0
265,Worry_2,MistrustB_10,u->v,0
266,Worry_2,MistrustB_10,v->u,0
267,Worry_2,MistrustB_10,undirected,0
268,Worry_2,MistrustB_10,none,154
269,Worry_2,MistrustB_10,unknown,0
270,Worry_2,Sleep_1,u->v,0
271,Worry_2,Sleep_1,v->u,0
272,Worry_2,Sleep_1,undirected,0
273,Worry_2,Sleep_1,none,154
274,Worry_2,Sleep_1,unknown,0
275,Worry_2,Sleep_2,u->v,0
276,Worry_2,Sleep_2,v->u,0
277,Worry_2,Sleep_2,undirected,0
278,Worry_2,Sleep_2,none,154
279,Worry_2,Sleep_2,unknown,0
280,Worry_2,Sleep_3,u->v,0
281,Worry_2,Sleep_3,v->u,0
282,Worry_2,Sleep_3,undirected,0
283,Worry_2,Sleep_3,none,154
284,Worry_2,Sleep_3,unknown,0
285,Worry_2,Sleep_4,u->v,0
286,Worry_2,Sleep_4,v->u,2
287,Worry_2,Sleep_4,undirected,0
288,Worry_2,Sleep_4,none,152
289,Worry_2,Sleep_4,unknown,0
290,Worry_2,Sleep_5,u->v,0
291,Worry_2,Sleep_5,v->u,0
292,Worry_2,Sleep_5,undirected,0
293,Worry_2,Sleep_5,none,154
294,Worry_2,Sleep_5,unknown,0
295,Worry_2,Sleep_6,u->v,0
296,Worry_2,Sleep_6,v->u,0
297,Worry_2,Sleep_6,undirected,0
298,Worry_2,Sleep_6,none,154
299,Worry_2,Sleep_6,unknown,0
300,Worry_2,Sleep_7,u->v,0
301,Worry_2,Sleep_7,v->u,0
302,Worry_2,Sleep_7,undirected,0
303,Worry_2,Sleep_7,none,154
304,Worry_2,Sleep_7,unknown,0
305,Worry_2,L1,u->v,0
306,Worry_2,L1,v->u,4
307,Worry_2,L1,undirected,1
308,Worry_2,L1,none,149
309,Worry_2,L1,unknown,0
310,Worry_2,L2,u->v,0
311,Worry_2,L2,v->u,1
312,Worry_2,L2,undirected,0
313,Worry_2,L2,none,153
314,Worry_2,L2,unknown,0
315,Worry_2,L3,u->v,0
316,Worry_2,L3,v->u,40
317,Worry_2,L3,undirected,0
318,Worry_2,L3,none,114
319,Worry_2,L3,unknown,0
320,Worry_2,L4,u->v,0
321,Worry_2,L4,v->u,2
322,Worry_2,L4,undirected,0
323,Worry_2,L4,none,152
324,Worry_2,L4,unknown,0
325,Worry_2,L5,u->v,0
326,Worry_2,L5,v->u,14
327,Worry_2,L5,undirected,0
328,Worry_2,L5,none,140
329,Worry_2,L5,unknown,0
330,Worry_2,L6,u->v,0
331,Worry_2,L6,v->u,15
332,Worry_2,L6,undirected,0
333,Worry_2,L6,none,139
334,Worry_2,L6,unknown,0
335,Worry_2,L7,u->v,0
336,Worry_2,L7,v->u,9
337,Worry_2,L7,undirected,0
338,Worry_2,L7,none,145
339,Worry_2,L7,unknown,0
340,Worry_2,L8,u->v,0
341,Worry_2,L8,v->u,64
342,Worry_2,L8,undirected,1
343,Worry_2,L8,none,89
344,Worry_2,L8,unknown,0
345,Worry_2,L9,u->v,0
346,Worry_2,L9,v->u,3
347,Worry_2,L9,undirected,0
348,Worry_2,L9,none,151
349,Worry_2,L9,unknown,0
350,Worry_2,L10,u->v,0
351,Worry_2,L10,v->u,1
352,Worry_2,L10,undirected,0
353,Worry_2,L10,none,153
354,Worry_2,L10,unknown,0
355,Worry_3,Worry_4,u->v,2
356,Worry_3,Worry_4,v->u,4
357,Worry_3,Worry_4,undirected,0
358,Worry_3,Worry_4,none,148
359,Worry_3,Worry_4,unknown,0
360,Worry_3,Worry_5,u->v,1
361,Worry_3,Worry_5,v->u,4
362,Worry_3,Worry_5,undirected,0
363,Worry_3,Worry_5,none,149
364,Worry_3,Worry_5,unknown,0
365,Worry_3,Worry_6,u->v,2
366,Worry_3,Worry_6,v->u,16
367,Worry_3,Worry_6,undirected,2
368,Worry_3,Worry_6,none,134
369,Worry_3,Worry_6,unknown,0
370,Worry_3,Worry_7,u->v,1
371,Worry_3,Worry_7,v->u,27
372,Worry_3,Worry_7,undirected,0
373,Worry_3,Worry_7,none,126
374,Worry_3,Worry_7,unknown,0
375,Worry_3,Worry_8,u->v,0
376,Worry_3,Worry_8,v->u,8
377,Worry_3,Worry_8,undirected,0
378,Worry_3,Worry_8,none,146
379,Worry_3,Worry_8,unknown,0
380,Worry_3,Worry_9,u->v,0
381,Worry_3,Worry_9,v->u,15
382,Worry_3,Worry_9,undirected,0
383,Worry_3,Worry_9,none,139
384,Worry_3,Worry_9,unknown,0
385,Worry_3,Worry_10,u->v,1
386,Worry_3,Worry_10,v->u,11
387,Worry_3,Worry_10,undirected,1
388,Worry_3,Worry_10,none,141
389,Worry_3,Worry_10,unknown,0
390,Worry_3,MistrustB_1,u->v,1
391,Worry_3,MistrustB_1,v->u,0
392,Worry_3,MistrustB_1,undirected,0
393,Worry_3,MistrustB_1,none,153
394,Worry_3,MistrustB_1,unknown,0
395,Worry_3,MistrustB_2,u->v,3
396,Worry_3,MistrustB_2,v->u,2
397,Worry_3,MistrustB_2,undirected,0
398,Worry_3,MistrustB_2,none,149
399,Worry_3,MistrustB_2,unknown,0
400,Worry_3,MistrustB_3,u->v,1
401,Worry_3,MistrustB_3,v->u,1
402,Worry_3,MistrustB_3,undirected,0
403,Worry_3,MistrustB_3,none,152
404,Worry_3,MistrustB_3,unknown,0
405,Worry_3,MistrustB_4,u->v,3
406,Worry_3,MistrustB_4,v->u,3
407,Worry_3,MistrustB_4,undirected,0
408,Worry_3,MistrustB_4,none,148
409,Worry_3,MistrustB_4,unknown,0
410,Worry_3,MistrustB_5,u->v,3
