,u,v,edge_type,count
136,Worry_1,L2,v->u,21
137,Worry_1,L2,undirected,0
138,Worry_1,L2,none,180
139,Worry_1,L2,unknown,0
140,Worry_1,L3,u->v,41
141,Worry_1,L3,v->u,71
142,Worry_1,L3,undirected,0
143,Worry_1,L3,none,111
144,Worry_1,L3,unknown,0
145,Worry_1,L4,u->v,0
146,Worry_1,L4,v->u,3
147,Worry_1,L4,undirected,0
148,Worry_1,L4,none,220
149,Worry_1,L4,unknown,0
150,Worry_1,L5,u->v,13
151,Worry_1,L5,v->u,36
152,Worry_1,L5,undirected,0
153,Worry_1,L5,none,174
154,Worry_1,L5,unknown,0
155,Worry_1,L6,u->v,3
156,Worry_1,L6,v->u,5
157,Worry_1,L6,undirected,0
158,Worry_1,L6,none,215
159,Worry_1,L6,unknown,0
160,Worry_1,L7,u->v,30
161,Worry_1,L7,v->u,45
162,Worry_1,L7,undirected,0
163,Worry_1,L7,none,148
164,Worry_1,L7,unknown,0
165,Worry_1,L8,u->v,0
166,Worry_1,L8,v->u,15
167,Worry_1,L8,undirected,0
168,Worry_1,L8,none,208
169,Worry_1,L8,unknown,0
170,Worry_1,L9,u->v,0
171,Worry_1,L9,v->u,3
172,Worry_1,L9,undirected,0
173,Worry_1,L9,none,220
174,Worry_1,L9,unknown,0
175,Worry_1,L10,u->v,16
176,Worry_1,L10,v->u,10
177,Worry_1,L10,undirected,0
178,Worry_1,L10,none,197
179,Worry_1,L10,unknown,0
180,Worry_2,Worry_3,u->v,1
181,Worry_2,Worry_3,v->u,5
182,Worry_2,Worry_3,undirected,0
183,Worry_2,Worry_3,none,210
184,Worry_2,Worry_3,unknown,7
185,Worry_2,Worry_4,u->v,4
186,Worry_2,Worry_4,v->u,18
187,Worry_2,Worry_4,undirected,0
188,Worry_2,Worry_4,none,194
189,Worry_2,Worry_4,unknown,7
190,Worry_2,Worry_5,u->v,1
191,Worry_2,Worry_5,v->u,5
192,Worry_2,Worry_5,undirected,0
193,Worry_2,Worry_5,none,210
194,Worry_2,Worry_5,unknown,7
195,Worry_2,Worry_6,u->v,5
196,Worry_2,Worry_6,v->u,36
197,Worry_2,Worry_6,undirected,0
198,Worry_2,Worry_6,none,175
199,Worry_2,Worry_6,unknown,7
200,Worry_2,Worry_7,u->v,10
201,Worry_2,Worry_7,v->u,37
202,Worry_2,Worry_7,undirected,0
203,Worry_2,Worry_7,none,169
204,Worry_2,Worry_7,unknown,7
205,Worry_2,Worry_8,u->v,3
206,Worry_2,Worry_8,v->u,13
207,Worry_2,Worry_8,undirected,0
208,Worry_2,Worry_8,none,200
209,Worry_2,Worry_8,unknown,7
210,Worry_2,Worry_9,u->v,2
211,Worry_2,Worry_9,v->u,13
212,Worry_2,Worry_9,undirected,0
213,Worry_2,Worry_9,none,201
214,Worry_2,Worry_9,unknown,7
215,Worry_2,Worry_10,u->v,14
216,Worry_2,Worry_10,v->u,38
217,Worry_2,Worry_10,undirected,1
218,Worry_2,Worry_10,none,163
219,Worry_2,Worry_10,unknown,7
220,Worry_2,MistrustB_1,u->v,0
221,Worry_2,MistrustB_1,v->u,1
222,Worry_2,MistrustB_1,undirected,0
223,Worry_2,MistrustB_1,none,215
224,Worry_2,MistrustB_1,unknown,7
225,Worry_2,MistrustB_2,u->v,1
226,Worry_2,MistrustB_2,v->u,1
227,Worry_2,MistrustB_2,undirected,0
228,Worry_2,MistrustB_2,none,214
229,Worry_2,MistrustB_2,unknown,7
230,Worry_2,MistrustB_3,u->v,2
231,Worry_2,MistrustB_3,v->u,8
232,Worry_2,MistrustB_3,undirected,0
233,Worry_2,MistrustB_3,none,206
234,Worry_2,MistrustB_3,unknown,7
235,Worry_2,MistrustB_4,u->v,0
